id,coodx,coody,z1,z2,z3,target,trend
0,0,0,1.4761207356569137,0.6221089460808072,2.622553587924207,1.725640963979153,-1.201947602849034
1,1,0,1.5678932237917471,0.5955441901313924,2.7067083693550087,1.6316162795873106,-1.4404415473999006
2,2,0,1.6532198755610703,0.6086085169820943,2.7794565031945204,1.6337531115612742,-1.5549564330802752
3,3,0,1.7313571032970083,0.7603654229277688,2.8399202831709487,1.7044956843316197,-1.5382619179701946
4,4,0,1.8014968005991,0.4125020805664802,2.887314595138421,2.0391835603002733,-1.388358564904007
5,5,0,1.862783105946134,0.2402696086069249,2.9209532124263533,2.420698919824037,-1.1085575527205762
6,6,0,1.9143321581536796,-0.2145061717744385,2.940254281174304,2.867008114139653,-0.7073486700119994
7,7,0,1.95525408519885,-0.6951522845656297,2.9447449534804213,3.2671047670717286,-0.1980618540435175
8,8,0,1.9846764336460656,-0.7768633850647735,2.9340651331836427,3.831697460557072,0.4016642317801848
9,9,0,2.001768241339633,-1.1110133434024072,2.907970306358395,4.333210307420487,1.0705853957629314
10,10,0,2.0057639789170305,-1.1233358266095248,2.866333436066673,4.985240484514391,1.7846988568000224
11,11,0,1.9959866328590716,-1.3029536829308368,2.80914590852435,5.548269348404072,2.5182001595157595
12,12,0,1.9718692703376048,-1.7309320404465858,2.7365175255335745,5.906810082102135,3.2445119164685767
13,13,0,1.932974509666784,-1.8730951798520497,2.648675545749508,6.370016900023945,3.937343364718556
14,14,0,1.8790114150763149,-2.32306237406437,2.545962785022663,6.477236865823949,4.571738495580542
15,15,0,1.809849436142963,-2.441012421930079,2.428834793627221,6.750369640109585,5.125070971937167
16,16,0,1.72552911606889,-2.4556705455510084,2.297856135588087,7.003078294987881,5.577946168898203
17,17,0,1.6262693949914984,-2.6336270440883767,2.153695802495904,6.956146383682574,5.914974376291634
18,18,0,1.5124714310992236,-2.4211201223708936,1.997121801092139,7.164870659464375,6.1253843378432045
19,19,0,1.3847189506249074,-2.491861463836431,1.8289949604596507,6.943372127299252,6.203452667173381
20,20,0,1.243775215649256,-2.3828007903187705,1.650262010816278,6.754796585655243,6.148732021151131
21,21,0,1.090576764708561,-2.1556397243398133,1.4619479916302602,6.530335972602501,5.966068934052884
22,22,0,0.926224134873047,-2.227198954471595,1.2651480520120018,5.912367288351187,5.665410601535041
23,23,0,0.7519698153801958,-1.9873659602203773,1.0610187110453386,5.455400767709532,5.261408317333361
24,24,0,0.5692037128471381,-2.0460209850650464,0.8507686498666497,4.666192737903392,4.77283337241653
25,25,0,0.3794364278495598,-2.077794271410241,0.6356491108498336,3.84583130608355,4.221828702851491
26,26,0,0.1842806539323223,-1.935780986016244,0.4169439821824827,3.147258427956019,3.633026120818524
27,27,0,-0.0145689851640308,-2.120105182869694,0.1959596484019056,2.198546586380026,3.032564321989787
28,28,0,-0.2153573441104914,-1.9937450970348407,-0.0259853109175756,1.5505133572844425,2.44704681821831
29,29,0,-0.4162910969333261,-2.050525252234828,-0.2475704911829617,0.8216119032721461,1.902481339472626
30,30,0,-0.6155617001534689,-2.1274200986972627,-0.4674840180885342,0.1625293947988835,1.4232429877150885
31,31,0,-0.8113686708579226,-1.9137107317097135,-0.6844328051927071,-0.1549098874094847,1.0311024785067018
32,32,0,-1.0019428738855525,-1.9945287833721488,-0.8971526318208188,-0.5932790231552751,0.7443582112791705
33,33,0,-1.1855695118657028,-1.8237255081440784,-1.104417961080033,-0.7093396995599072,0.5771067698934967
34,34,0,-1.3606105095720813,-1.8193953583780111,-1.3050514201459251,-0.8187454971777357,0.5386809363257852
35,35,0,-1.5255259805181272,-2.023791002699604,-1.497932867974714,-0.9514098081213735,0.6332776221011541
36,36,0,-1.6788944599577085,-1.9615640469040283,-1.6820079791828453,-0.739300055653201,0.8597905506753454
37,37,0,-1.8194315858941688,-2.137542467310212,-1.856296276985908,-0.5921586353957946,1.2118543611894883
38,38,0,-1.9460069100483903,-1.9977993479308025,-2.019898552764834,-0.0651631682693842,1.6780983753204886
39,39,0,-2.0576585258607407,-1.7900159951528136,-2.172003614989079,0.6067305915021273,2.242599910343511
40,40,0,-2.1536052123820317,-1.8111338417842269,-2.311894315829845,1.187224780632759,2.885519066245297
41,41,0,-2.2332558130917173,-1.6426844652236288,-2.438952809793705,1.9600991259057432,3.583889679929264
42,42,0,-2.296215598734068,-1.8380066358338103,-2.552665005047833,2.512151889856922,4.312534913664246
43,43,0,-2.34228940423342,-1.917763442122232,-2.652624174739204,3.1487617510784123,5.045070976154732
44,44,0,-2.3714813821548804,-1.8274123100710291,-2.738533702476168,3.894817130591891,5.754958961040949
45,45,0,-2.3839912789072693,-1.8779849291988573,-2.8102089431851387,4.489924128464615,6.416562869347067
46,46,0,-2.380207214150579,-1.6152304263094184,-2.867578187719296,5.239412207140422,7.006171635861285
47,47,0,-2.36069502717457,-1.6309451908989685,-2.910682726821173,5.703289285743376,7.50294441448124
48,48,0,-2.3261843441751022,-1.7220092683863082,-2.939676017268644,6.008587450322886,7.889741436981015
49,49,0,-2.277551614559103,-1.7212332609892846,-2.954821960203829,6.256165097557927,8.153807321482631
50,50,0,-2.215800459311562,-1.9556630506364536,-2.956492308700533,6.2013198311895845,8.2872795892796
51,51,0,-2.142039766310233,-1.86369852337648,-2.9451632285098786,6.260286733150192,8.287502117051456
52,52,0,-2.057460052286869,-1.8613048227922917,-2.921411042581193,6.122026737929945,8.157131028118663
53,53,0,-1.9633086848573305,-1.937032258901885,-2.8859071963338274,5.803515097309054,7.904028801187712
54,54,0,-1.8608646167665053,-1.8892994987252052,-2.83941248670332,5.471928583625355,7.54095081813658
