,x,y,filed_1,filed_2,filed_3,z,z_trend
0,0,0,1.4761207356569137,0.6221089460808072,2.622553587924207,2.927588566828187,0.0
1,1,0,1.6532198755610705,0.6076314668948739,2.5536602171253087,2.9660155175858525,0.07575757575757576
2,2,0,1.8014968005991,0.5743277863305711,2.4776876975335496,2.992261976156406,0.15151515151515152
3,3,0,1.9143321581536794,0.5235654697264086,2.3957884977681356,3.0065700953984864,0.2272727272727273
4,4,0,1.9846764336460658,0.4565711106630484,2.3091303729481183,3.0089349744002916,0.30303030303030304
5,5,0,2.0057639789170305,0.37431011757723626,2.2188615556554345,2.9991401772506086,0.3787878787878788
6,6,0,1.9718692703376046,0.2774127785089552,2.1260767523648725,2.976813256269631,0.4545454545454546
7,7,0,1.8790114150763149,0.16615407371297483,2.0317852255315354,2.9415013345021044,0.5303030303030303
8,8,0,1.72552911606889,0.040490237982326184,1.9368821872292616,2.892810975584084,0.6060606060606061
9,9,0,1.5124714310992236,-0.09984970206050536,1.8421246269050953,2.790580288332352,0.6818181818181819
10,10,0,1.243775215649256,-0.2552239203460092,1.7481125466089271,2.6509983709187566,0.7575757575757576
11,11,0,0.926224134873047,-0.42590014562570716,1.6552763869811435,2.4891837705754982,0.8333333333333333
12,12,0,0.5692037128471381,-0.6118548048569334,1.5638712030247182,2.312708042351675,0.9090909090909092
13,13,0,0.18428065393232235,-0.8125659645289784,1.4739778983814558,2.151920875175179,0.984848484848485
14,14,0,-0.21535734411049148,-1.0268184359468473,1.3855115597424927,2.0529866146177085,1.0606060606060606
15,15,0,-0.6155617001534689,-1.252539417881298,1.2982366592076453,2.0138142286997778,1.1363636363636365
16,16,0,-1.0019428738855523,-1.4866816774532905,1.2117886223268102,1.982227511518666,1.2121212121212122
17,17,0,-1.3606105095720813,-1.7251685857713195,1.125701003671022,1.922058452563875,1.2878787878787878
18,18,0,-1.6788944599577085,-1.9629114911326506,1.0394372801443608,1.823402371570834,1.3636363636363638
19,19,0,-1.9460069100483905,-2.193905175722519,0.9524260741137539,1.6893115702152515,1.4393939393939392
20,20,0,-2.1536052123820313,-2.4114018151060175,0.8640984618841414,1.5286733539264232,1.5151515151515151
21,21,0,-2.296215598734068,-2.6081583027318826,0.7739259146740828,1.3536568475527382,1.590909090909091
22,22,0,-2.3714813821548804,-2.776746394809491,0.681457363881295,1.1784684200875535,1.6666666666666665
23,23,0,-2.380207214150579,-2.909910250085724,0.5863538829387273,1.0181874281177214,1.7424242424242424
24,24,0,-2.3261843441751022,-3.000951929265647,0.488419535232023,0.8873756302066323,1.8181818181818183
25,25,0,-2.215800459311562,-3.0441225704553823,0.38762705002487374,0.7985045397361228,1.893939393939394
26,26,0,-2.057460052286869,-3.0349954855733223,0.2841371526730911,0.7603981266152058,1.96969696969697
27,27,0,-1.8608646167665053,-2.9707974537518393,0.1783105861699784,0.7769586717612853,2.0454545454545454
28,28,0,-1.6362226631230343,-2.850676048001374,0.0707121110412501,0.8464604768793607,2.121212121212121
29,29,0,-1.3934736854024257,-2.675883846351016,-0.037893948940663016,0.961668686024169,2.196969696969697
30,30,0,-1.1416143783233206,-2.4498646773057633,-0.14655674676195268,1.1109717365068992,2.272727272727273
31,31,0,-0.8882074206379834,-2.178232375385459,-0.25416035866958614,1.280579940172288,2.3484848484848486
32,32,0,-0.6391326457678109,-1.8686385508353611,-0.35945314861176164,1.4575140148028505,2.4242424242424243
33,33,0,-0.39860917007581687,-1.530532236344644,-0.461084265358013,1.6323512478973445,2.5
34,34,0,-0.16947885332960408,-1.1748205681951096,-0.5576462137788849,1.7998322467537773,2.5757575757575757
35,35,0,0.04629826823387248,-0.8134454983829968,-0.6477222019349683,1.9567622464340975,2.6515151515151514
36,36,0,0.24702099274890613,-0.45889655536404195,-0.7299367680403809,2.101216781504786,2.7272727272727275
37,37,0,0.4306051821154077,-0.12368356377955772,-0.803008043333328,2.236296926882932,2.803030303030303
38,38,0,0.5940408673673596,0.1802042406626869,-0.8657999139391246,2.297644332528807,2.8787878787878785
39,39,0,0.733056677800114,0.4418252578396574,-0.9173723105094812,2.3173942286519367,2.9545454545454546
40,40,0,0.842072889412863,0.6517718557687561,-0.9570278802262892,2.3397458773904667,3.0303030303030303
41,41,0,0.9144823842503538,0.8025912139118322,-0.984353380986851,2.368899499723714,3.106060606060606
42,42,0,0.9432476732679361,0.8891193990210905,-0.9992542794499022,2.411414528139051,3.181818181818182
43,43,0,0.9217494260915261,0.9087120681850898,-1.001981228333752,2.471338307848338,3.257575757575758
44,44,0,0.8447759514124551,0.8613607530310583,-0.9931473373291728,2.5481487000226,3.333333333333333
45,45,0,0.7095114636025281,0.749689785908945,-0.9737354280776331,2.637304917418889,3.409090909090909
46,46,0,0.5163695572382151,0.5788352174341553,-0.945094767482925,2.734103684589008,3.484848484848485
47,47,0,0.26952998270493816,0.35621317570530686,-0.9089270948918199,2.842052661930018,3.5606060606060606
48,48,0,-0.022929049073869924,0.09119068142964654,-0.8672620866052834,2.982033918675013,3.6363636363636367
49,49,0,-0.34935839496212345,-0.2053233480254667,-0.8224227248551388,3.0987542752625417,3.7121212121212124
50,50,0,-0.6953172496128939,-0.521345547616276,-0.7769813471660294,3.2134868939105927,3.787878787878788
51,51,0,-1.0447308071248744,-0.8443202926983523,-0.7337074359322555,3.318549581006402,3.8636363636363633
52,52,0,-1.3812957536273511,-1.161631918879704,-0.6955084580833079,3.3845047556801493,3.93939393939394
53,53,0,-1.6899627997921027,-1.4611026438993038,-0.6653652731970381,3.404621847196247,4.015151515151516
54,54,0,-1.9583087934959706,-1.7314535361822052,-0.6462637891985866,3.3866142129500307,4.090909090909091
55,55,0,-2.177620982766805,-1.962708697137184,-0.6411246534398518,3.3452804542295715,4.166666666666667
56,56,0,-2.343551851126041,-2.146526583426708,-0.6527328209208136,3.297807461627465,4.242424242424242
57,57,0,-2.4562597862071307,-2.276446833505023,-0.6836688400169828,3.2605486997913244,4.318181818181818
58,58,0,-2.5200205566967884,-2.3480457934628802,-0.7362436405115057,3.2466824735073576,4.393939393939394
59,59,0,-2.54236698522735,-2.3589988652753564,-0.8124385019653859,3.2646291395926075,4.46969696969697
60,60,0,-2.5328786250541198,-2.309052540377439,-0.9138517270806475,3.3172420977761927,4.545454545454546
61,61,0,-2.501790120604637,-2.1999132747566046,-1.0416533507083536,3.401764121098889,4.621212121212121
62,62,0,-2.458609319872019,-2.03506399207424,-1.1965489876604734,3.5104717047108704,4.696969696969697
63,63,0,-2.410930874066386,-1.819521805504621,-1.378753669487116,3.6318718163363943,4.7727272727272725
64,64,0,-2.3635989753937774,-1.5595524240980745,-1.587976250402384,3.752294502374844,4.848484848484849
65,65,0,-2.3183190655634895,-1.2623576156487244,-1.8234146843198715,3.8577608250847155,4.924242424242424
66,66,0,-2.2737510740400197,-0.935752056831316,-2.083762197125863,3.936149725348012,5.0
67,67,0,-2.226046256328087,-0.5878449901969891,-2.3672241091007433,3.9800728576535502,5.075757575757576
68,68,0,-2.169726601511171,-0.22674045086617883,-2.6715448093442093,3.9913903640996136,5.151515151515151
