,x,y,filed_1,filed_2,filed_3,z,z_trend
0,0,0,1.4761207356569137,0.6221089460808072,2.622553587924207,10.355309790625713,7.5
1,1,0,1.5678932237917473,0.5955441901313924,2.7067083693550087,10.441307995563346,7.5
2,2,0,1.6532198755610705,0.6086085169820943,2.7794565031945204,10.538063559564414,7.5
3,3,0,1.7313571032970083,0.7603654229277688,2.8399202831709487,10.69888261960374,7.5
4,4,0,1.8014968005991,0.41250208056648024,2.887314595138421,10.573230285662937,7.5
5,5,0,1.862783105946134,0.24026960860692492,2.9209532124263533,10.530088838999005,7.5
6,6,0,1.9143321581536794,-0.21450617177443854,2.940254281174304,10.317699239055292,7.5
7,7,0,1.95525408519885,-0.6951522845656297,2.9447449534804213,10.075914747870783,7.5
8,8,0,1.9846764336460658,-0.7768633850647735,2.9340651331836427,10.036766035812256,7.5
9,9,0,2.001768241339633,-1.1110133434024072,2.907970306358395,9.842936425811537,7.5
10,10,0,2.0057639789170305,-1.1233358266095248,2.8663334360666735,9.80853235863252,7.5
11,11,0,1.9959866328590714,-1.3029536829308368,2.80914590852435,9.66534135638512,7.5
12,12,0,1.9718692703376046,-1.7309320404465858,2.7365175255335745,9.36878632132314,7.5
13,13,0,1.9329745096667836,-1.8730951798520497,2.6486755457495077,9.211412437681144,7.5
14,14,0,1.8790114150763149,-2.32306237406437,2.545962785022663,8.868193336093297,7.5
15,15,0,1.809849436142963,-2.441012421930079,2.4288347936272214,8.68983725996528,7.5
16,16,0,1.72552911606889,-2.4556705455510084,2.297856135588087,8.55148358420318,7.5
17,17,0,1.6262693949914984,-2.6336270440883767,2.153695802495904,8.30768574984069,7.5
18,18,0,1.5124714310992236,-2.4211201223708936,1.997121801092139,8.262474049748388,7.5
19,19,0,1.3847189506249074,-2.491861463836431,1.8289949604596507,8.047711146041877,7.5
20,20,0,1.243775215649256,-2.3828007903187705,1.650262010816278,7.918030901868249,7.5
21,21,0,1.090576764708561,-2.1556397243398133,1.4619479916302602,7.840781591862704,7.5
22,22,0,0.926224134873047,-2.227198954471595,1.2651480520120018,7.588927684962036,7.5
23,23,0,0.7519698153801958,-1.9873659602203773,1.0610187110453386,7.498019483958971,7.5
24,24,0,0.5692037128471381,-2.0460209850650464,0.8507686498666497,7.235488073886859,7.5
25,25,0,0.3794364278495598,-2.077794271410241,0.6356491108498336,6.981106133592978,7.5
26,26,0,0.18428065393232235,-1.935780986016244,0.4169439821824827,6.816965818571624,7.5
27,27,0,-0.014568985164030842,-2.120105182869694,0.19595964840190566,6.470819515044581,7.5
28,28,0,-0.21535734411049148,-1.9937450970348407,-0.02598531091757565,6.293295714700658,7.5
29,29,0,-0.4162910969333261,-2.0505252522348276,-0.24757049118296176,6.015651253245683,7.5
30,30,0,-0.6155617001534689,-2.1274200986972627,-0.46748401808853424,5.728915342189206,7.5
31,31,0,-0.8113686708579226,-1.9137107317097137,-0.6844328051927071,5.604995285314185,7.5
32,32,0,-1.0019428738855523,-1.9945287833721488,-0.8971526318208188,5.3250864089179615,7.5
33,33,0,-1.1855695118657028,-1.8237255081440784,-1.104417961080033,5.189960166831414,7.5
34,34,0,-1.3606105095720813,-1.8193953583780111,-1.3050514201459253,4.972181894153089,7.5
35,35,0,-1.5255259805181272,-2.0237910026996038,-1.497932867974714,4.650089568662184,7.5
36,36,0,-1.6788944599577085,-1.9615640469040285,-1.6820079791828453,4.4854234475268235,7.5
37,37,0,-1.8194315858941692,-2.137542467310212,-1.856296276985908,4.202945546386949,7.5
38,38,0,-1.9460069100483905,-1.9977993479308023,-2.019898552764834,4.107195520689777,7.5
39,39,0,-2.0576585258607407,-1.7900159951528136,-2.172003614989079,4.063516508577948,7.5
40,40,0,-2.1536052123820313,-1.8111338417842269,-2.3118943158298455,3.91012346176705,7.5
41,41,0,-2.2332558130917173,-1.6426844652236288,-2.4389528097937054,3.876922230890666,7.5
42,42,0,-2.296215598734068,-1.8380066358338105,-2.552665005047833,3.661376735589772,7.5
43,43,0,-2.34228940423342,-1.9177634421222318,-2.652624174739204,3.5264054947247576,7.5
44,44,0,-2.3714813821548804,-1.8274123100710293,-2.738533702476168,3.5020905888079774,7.5
